"kpi_id","mandant","mandant_name","branche","wert"
15,67533,"Labiba Schreiner GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.2455
19,5331,"Vu Zauner GmbH","1 Agrar-/ Land- / Forstwirtschaft",-0.0023
19,6214,"Shara Hertwig GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.0025
19,21887,"Anabel Breda AG","1 Agrar-/ Land- / Forstwirtschaft",115.0067
19,36846,"Lika Schreiter GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",-0.0014
19,26925,"Gülay Neumaier GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.0065
19,29270,"Afia Brink AG","1 Agrar-/ Land- / Forstwirtschaft",0.1288
19,67521,"Samira Claußen GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",-0.0021
19,67500,"Djenabou Brunke GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",9e-04
19,67514,"Zeliha Gräf GmbH","1 Agrar-/ Land- / Forstwirtschaft",-0.0023
19,67515,"Jasemí Lüdecke GmbH","1 Agrar-/ Land- / Forstwirtschaft",-0.0023
19,67517,"Asena Stolze GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",-0.0019
19,67518,"Rubi Merkel AG","1 Agrar-/ Land- / Forstwirtschaft",-0.0019
19,67523,"Fernanda Nadler GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",-0.0015
19,67524,"Vahibe Köppe GmbH","1 Agrar-/ Land- / Forstwirtschaft",-0.0023
19,67525,"Hoàng Huppertz GmbH","1 Agrar-/ Land- / Forstwirtschaft",-0.0019
19,67526,"Stella Mühl GmbH","1 Agrar-/ Land- / Forstwirtschaft",-0.0012
19,67527,"Ewa Welker GmbH","1 Agrar-/ Land- / Forstwirtschaft",-0.0023
19,67528,"Defne Hempel GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",-0.0014
19,67529,"Alea Focke GmbH","1 Agrar-/ Land- / Forstwirtschaft",-0.0021
19,67532,"Eni Rosenkranz GmbH","1 Agrar-/ Land- / Forstwirtschaft",6e-04
19,67533,"Labiba Schreiner GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.0143
25,5331,"Vu Zauner GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.1177
25,6214,"Shara Hertwig GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.2691
25,22880,"Hariklia Hampe GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.2485
25,36846,"Lika Schreiter GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.6355
25,26925,"Gülay Neumaier GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.7896
25,29270,"Afia Brink AG","1 Agrar-/ Land- / Forstwirtschaft",0.1212
25,67520,"Sina Friedrich GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.4777
25,67521,"Samira Claußen GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.2552
25,67500,"Djenabou Brunke GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.1295
25,67514,"Zeliha Gräf GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.1746
25,67515,"Jasemí Lüdecke GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.1116
25,67517,"Asena Stolze GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.5961
25,67518,"Rubi Merkel AG","1 Agrar-/ Land- / Forstwirtschaft",0.3868
25,67523,"Fernanda Nadler GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.6185
25,67524,"Vahibe Köppe GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.3268
25,67525,"Hoàng Huppertz GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.4235
25,67526,"Stella Mühl GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.2202
25,67527,"Ewa Welker GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.5131
25,67528,"Defne Hempel GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.3486
25,67529,"Alea Focke GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.9361
25,67530,"Jamilah Spangenberg GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.4746
25,67532,"Eni Rosenkranz GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.4239
25,67533,"Labiba Schreiner GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.8113
22,5331,"Vu Zauner GmbH","1 Agrar-/ Land- / Forstwirtschaft",5431.0085
22,6214,"Shara Hertwig GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",3.7618
22,21887,"Anabel Breda AG","1 Agrar-/ Land- / Forstwirtschaft",1.5317
22,36846,"Lika Schreiter GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",90.126
22,26925,"Gülay Neumaier GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",6.9014
22,67521,"Samira Claußen GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",1870.576
22,67500,"Djenabou Brunke GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",10.6882
22,67514,"Zeliha Gräf GmbH","1 Agrar-/ Land- / Forstwirtschaft",1314.4718
22,67515,"Jasemí Lüdecke GmbH","1 Agrar-/ Land- / Forstwirtschaft",34365.2372
22,67517,"Asena Stolze GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",89.9712
22,67518,"Rubi Merkel AG","1 Agrar-/ Land- / Forstwirtschaft",346.5892
22,67523,"Fernanda Nadler GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",14.8552
22,67524,"Vahibe Köppe GmbH","1 Agrar-/ Land- / Forstwirtschaft",1543.1814
22,67525,"Hoàng Huppertz GmbH","1 Agrar-/ Land- / Forstwirtschaft",57.7742
22,67526,"Stella Mühl GmbH","1 Agrar-/ Land- / Forstwirtschaft",33.7975
22,67527,"Ewa Welker GmbH","1 Agrar-/ Land- / Forstwirtschaft",155.1229
22,67528,"Defne Hempel GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",5.2114
22,67529,"Alea Focke GmbH","1 Agrar-/ Land- / Forstwirtschaft",76.2431
22,67532,"Eni Rosenkranz GmbH","1 Agrar-/ Land- / Forstwirtschaft",63.1797
22,67533,"Labiba Schreiner GmbH","1 Agrar-/ Land- / Forstwirtschaft",8.5195
3,5331,"Vu Zauner GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.1757
3,6214,"Shara Hertwig GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.0313
3,21887,"Anabel Breda AG","1 Agrar-/ Land- / Forstwirtschaft",-34.7147
3,22880,"Hariklia Hampe GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.1094
3,36846,"Lika Schreiter GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.1028
3,26925,"Gülay Neumaier GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.0714
3,29270,"Afia Brink AG","1 Agrar-/ Land- / Forstwirtschaft",9.5329
3,67520,"Sina Friedrich GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.0287
3,67521,"Samira Claußen GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.1605
3,67500,"Djenabou Brunke GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.0491
3,67514,"Zeliha Gräf GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.0513
3,67515,"Jasemí Lüdecke GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.087
3,67517,"Asena Stolze GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.0535
3,67518,"Rubi Merkel AG","1 Agrar-/ Land- / Forstwirtschaft",0.1764
3,67523,"Fernanda Nadler GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.0303
3,67524,"Vahibe Köppe GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.146
3,67525,"Hoàng Huppertz GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.0492
3,67526,"Stella Mühl GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.0559
3,67527,"Ewa Welker GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.034
3,67528,"Defne Hempel GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.0251
3,67529,"Alea Focke GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.0403
3,67530,"Jamilah Spangenberg GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.1194
3,67532,"Eni Rosenkranz GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.1802
3,67533,"Labiba Schreiner GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.1293
14,5331,"Vu Zauner GmbH","1 Agrar-/ Land- / Forstwirtschaft",6.9744
14,6214,"Shara Hertwig GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",3.9114
14,22880,"Hariklia Hampe GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.6489
14,36846,"Lika Schreiter GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.8015
14,26925,"Gülay Neumaier GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",3.2189
14,29270,"Afia Brink AG","1 Agrar-/ Land- / Forstwirtschaft",4.3126
14,67520,"Sina Friedrich GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.602
14,67521,"Samira Claußen GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.6467
14,67500,"Djenabou Brunke GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",1.4818
14,67514,"Zeliha Gräf GmbH","1 Agrar-/ Land- / Forstwirtschaft",1.0821
14,67515,"Jasemí Lüdecke GmbH","1 Agrar-/ Land- / Forstwirtschaft",7.9072
14,67517,"Asena Stolze GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.8356
14,67518,"Rubi Merkel AG","1 Agrar-/ Land- / Forstwirtschaft",1.7682
14,67523,"Fernanda Nadler GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",2.0432
14,67524,"Vahibe Köppe GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.5767
14,67525,"Hoàng Huppertz GmbH","1 Agrar-/ Land- / Forstwirtschaft",1.7587
14,67526,"Stella Mühl GmbH","1 Agrar-/ Land- / Forstwirtschaft",1.1328
14,67527,"Ewa Welker GmbH","1 Agrar-/ Land- / Forstwirtschaft",3.0009
14,67528,"Defne Hempel GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",1.3763
14,67529,"Alea Focke GmbH","1 Agrar-/ Land- / Forstwirtschaft",1.3731
14,67530,"Jamilah Spangenberg GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.5415
14,67532,"Eni Rosenkranz GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.9144
14,67533,"Labiba Schreiner GmbH","1 Agrar-/ Land- / Forstwirtschaft",3.7056
20,5331,"Vu Zauner GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.1117
20,6214,"Shara Hertwig GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",-6e-04
20,21887,"Anabel Breda AG","1 Agrar-/ Land- / Forstwirtschaft",-143.5375
20,22880,"Hariklia Hampe GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.0576
20,36846,"Lika Schreiter GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.1047
20,26925,"Gülay Neumaier GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.0268
20,29270,"Afia Brink AG","1 Agrar-/ Land- / Forstwirtschaft",5.7086
20,67520,"Sina Friedrich GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",-0.0063
20,67521,"Samira Claußen GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.1438
20,67500,"Djenabou Brunke GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.048
20,67514,"Zeliha Gräf GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.0887
20,67515,"Jasemí Lüdecke GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.0505
20,67517,"Asena Stolze GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.0174
20,67518,"Rubi Merkel AG","1 Agrar-/ Land- / Forstwirtschaft",0.1504
20,67523,"Fernanda Nadler GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",-0.0043
20,67524,"Vahibe Köppe GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.0964
20,67525,"Hoàng Huppertz GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.0116
20,67526,"Stella Mühl GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.0135
20,67527,"Ewa Welker GmbH","1 Agrar-/ Land- / Forstwirtschaft",-0.0025
20,67528,"Defne Hempel GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",-0.0094
20,67529,"Alea Focke GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.0017
20,67530,"Jamilah Spangenberg GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.0662
20,67532,"Eni Rosenkranz GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.1066
20,67533,"Labiba Schreiner GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.0576
1,5331,"Vu Zauner GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.358
1,6214,"Shara Hertwig GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.4247
1,21887,"Anabel Breda AG","1 Agrar-/ Land- / Forstwirtschaft",1.274
1,22880,"Hariklia Hampe GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",1.0849
1,36846,"Lika Schreiter GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.9671
1,26925,"Gülay Neumaier GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.4727
1,29270,"Afia Brink AG","1 Agrar-/ Land- / Forstwirtschaft",0.385
1,67520,"Sina Friedrich GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",1.1084
1,67521,"Samira Claußen GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",1.0195
1,67500,"Djenabou Brunke GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.711
1,67514,"Zeliha Gräf GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.81
1,67515,"Jasemí Lüdecke GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.3089
1,67517,"Asena Stolze GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.8941
1,67518,"Rubi Merkel AG","1 Agrar-/ Land- / Forstwirtschaft",0.6448
1,67523,"Fernanda Nadler GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.6115
1,67524,"Vahibe Köppe GmbH","1 Agrar-/ Land- / Forstwirtschaft",1.1381
1,67525,"Hoàng Huppertz GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.6737
1,67526,"Stella Mühl GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.805
1,67527,"Ewa Welker GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.497
1,67528,"Defne Hempel GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.7495
1,67529,"Alea Focke GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.7315
1,67530,"Jamilah Spangenberg GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",1.1357
1,67532,"Eni Rosenkranz GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.9922
1,67533,"Labiba Schreiner GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.4523
7,5331,"Vu Zauner GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.3078
7,6214,"Shara Hertwig GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",-0.223
7,22880,"Hariklia Hampe GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.685
7,36846,"Lika Schreiter GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",-0.2158
7,29270,"Afia Brink AG","1 Agrar-/ Land- / Forstwirtschaft",0.1684
7,67521,"Samira Claußen GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.7686
7,67500,"Djenabou Brunke GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.1058
7,67514,"Zeliha Gräf GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.7655
7,67517,"Asena Stolze GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.5417
7,67523,"Fernanda Nadler GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.2658
7,67524,"Vahibe Köppe GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.6121
7,67525,"Hoàng Huppertz GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.7179
7,67526,"Stella Mühl GmbH","1 Agrar-/ Land- / Forstwirtschaft",-0.179
7,67528,"Defne Hempel GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.0058
7,67530,"Jamilah Spangenberg GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.4934
7,67533,"Labiba Schreiner GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.2778
8,5331,"Vu Zauner GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.8291
8,6214,"Shara Hertwig GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",-0.0443
8,22880,"Hariklia Hampe GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",-0.068
8,36846,"Lika Schreiter GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.0884
8,26925,"Gülay Neumaier GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.5139
8,29270,"Afia Brink AG","1 Agrar-/ Land- / Forstwirtschaft",-0.0443
8,67520,"Sina Friedrich GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",-0.1051
8,67521,"Samira Claußen GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",-0.0678
8,67500,"Djenabou Brunke GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",-0.0772
8,67514,"Zeliha Gräf GmbH","1 Agrar-/ Land- / Forstwirtschaft",-0.0147
8,67515,"Jasemí Lüdecke GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.3198
8,67517,"Asena Stolze GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.0224
8,67518,"Rubi Merkel AG","1 Agrar-/ Land- / Forstwirtschaft",-0.0297
8,67523,"Fernanda Nadler GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.1249
8,67524,"Vahibe Köppe GmbH","1 Agrar-/ Land- / Forstwirtschaft",-0.0955
8,67525,"Hoàng Huppertz GmbH","1 Agrar-/ Land- / Forstwirtschaft",-0.0671
8,67526,"Stella Mühl GmbH","1 Agrar-/ Land- / Forstwirtschaft",-0.0475
8,67527,"Ewa Welker GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.1684
8,67528,"Defne Hempel GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",-0.09
8,67529,"Alea Focke GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.0443
8,67530,"Jamilah Spangenberg GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",-0.1044
8,67532,"Eni Rosenkranz GmbH","1 Agrar-/ Land- / Forstwirtschaft",-0.1048
8,67533,"Labiba Schreiner GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.1499
23,5331,"Vu Zauner GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.0533
23,6214,"Shara Hertwig GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",-0.0216
23,21887,"Anabel Breda AG","1 Agrar-/ Land- / Forstwirtschaft",35.3576
23,22880,"Hariklia Hampe GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.4313
23,36846,"Lika Schreiter GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.2312
23,26925,"Gülay Neumaier GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.1777
23,29270,"Afia Brink AG","1 Agrar-/ Land- / Forstwirtschaft",1.2317
23,67520,"Sina Friedrich GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.0089
23,67521,"Samira Claußen GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.1272
23,67500,"Djenabou Brunke GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",-0.0088
23,67514,"Zeliha Gräf GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.0034
23,67515,"Jasemí Lüdecke GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.0275
23,67517,"Asena Stolze GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.0692
23,67518,"Rubi Merkel AG","1 Agrar-/ Land- / Forstwirtschaft",0.0708
23,67523,"Fernanda Nadler GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.1134
23,67524,"Vahibe Köppe GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.0243
23,67525,"Hoàng Huppertz GmbH","1 Agrar-/ Land- / Forstwirtschaft",-0.0062
23,67526,"Stella Mühl GmbH","1 Agrar-/ Land- / Forstwirtschaft",-0.0024
23,67527,"Ewa Welker GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.0036
23,67528,"Defne Hempel GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.0672
23,67529,"Alea Focke GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.1091
23,67530,"Jamilah Spangenberg GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.0539
23,67532,"Eni Rosenkranz GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.0804
23,67533,"Labiba Schreiner GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.0887
24,5331,"Vu Zauner GmbH","1 Agrar-/ Land- / Forstwirtschaft",10.9894
24,6214,"Shara Hertwig GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",16.5895
24,22880,"Hariklia Hampe GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",19.2016
24,36846,"Lika Schreiter GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",17.9322
24,26925,"Gülay Neumaier GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",12.2718
24,67520,"Sina Friedrich GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",33.3091
24,67521,"Samira Claußen GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",18.0158
24,67500,"Djenabou Brunke GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",7.9984
24,67514,"Zeliha Gräf GmbH","1 Agrar-/ Land- / Forstwirtschaft",7.7923
24,67515,"Jasemí Lüdecke GmbH","1 Agrar-/ Land- / Forstwirtschaft",7.6253
24,67518,"Rubi Merkel AG","1 Agrar-/ Land- / Forstwirtschaft",8.8344
24,67523,"Fernanda Nadler GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",98.6526
24,67524,"Vahibe Köppe GmbH","1 Agrar-/ Land- / Forstwirtschaft",130.2994
24,67525,"Hoàng Huppertz GmbH","1 Agrar-/ Land- / Forstwirtschaft",8.2434
24,67526,"Stella Mühl GmbH","1 Agrar-/ Land- / Forstwirtschaft",13.9633
24,67527,"Ewa Welker GmbH","1 Agrar-/ Land- / Forstwirtschaft",7.1136
24,67528,"Defne Hempel GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",9.21
24,67529,"Alea Focke GmbH","1 Agrar-/ Land- / Forstwirtschaft",7.6647
24,67532,"Eni Rosenkranz GmbH","1 Agrar-/ Land- / Forstwirtschaft",34.6536
4,5331,"Vu Zauner GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.1718
4,6214,"Shara Hertwig GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.0486
4,21887,"Anabel Breda AG","1 Agrar-/ Land- / Forstwirtschaft",-35.1808
4,22880,"Hariklia Hampe GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.1936
4,36846,"Lika Schreiter GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.236
4,26925,"Gülay Neumaier GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.1888
4,29270,"Afia Brink AG","1 Agrar-/ Land- / Forstwirtschaft",9.976
4,67520,"Sina Friedrich GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.0362
4,67521,"Samira Claußen GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.1867
4,67500,"Djenabou Brunke GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.0551
4,67514,"Zeliha Gräf GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.0624
4,67515,"Jasemí Lüdecke GmbH","1 Agrar-/ Land- / Forstwirtschaft",0.0868
4,67517,"Asena Stolze GmbH & Co. KG","1 Agrar-/ Land- / Forstwirtschaft",0.0781
4,67518,"Rubi Merkel AG","1 Agrar-/ Land- / Forstwirtschaft",0.2131
